PlInf_City,PlInf_Pr/St,PlInf_Cntry,PlInf_Nat,PlInf_Hand,PlInf_CorsicaID,PlInf_H-Ref_Name,PlInf_Last_Name,PlInf_First_Name,PlInf_Position,PlInf_Team,Other_Injuries,ContInf_NMC,ContInf_Status,Eqip_Stick,Eqip_Glove,Eqip_Pants,Eqip_Helmet,Eqip_Skates
Dorchester,MA,USA,USA,R,JIMMY.HAYES,Jimmy Hayes,Hayes,Jimmy,RW,NJD,,,UFA,Warrior - Covert QRL,Bauer - Vapor 1X,Bauer,Bauer - 4500,TRUE - Pro Custom
Helsinki,,FIN,FIN,L,JORI.LEHTERA,Jori Lehtera,Lehtera,Jori,C,PHI,Illness,,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,CCM - Vector V08,Bauer - Vapor 1X
Winnipeg,MB,CAN,CAN,R,MICHAEL.STONE,Michael Stone,Stone,Michael,D,CGY,,NTC,UFA,Warrior - Alpha QX,Bauer - Supreme 1S,Warrior,Bauer - 5100,Bauer - Supreme 1S
Regina,SK,CAN,CAN,L,SCOTT.HARTNELL,Scott Hartnell,Hartnell,Scott,LW,NSH,Lower body,,UFA,Bauer - Vapor 1X Lite,Warrior - Dynasty AX1,Bauer,Bauer - 9900,TRUE - Pro Custom
Bolton,CT,USA,USA,L,RON.HAINSEY,Ron Hainsey,Hainsey,Ron,D,TOR,Illness,M-NTC,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Warrior - Covert PX2,Bauer - Nexus 1N
Regina,SK,CAN,CAN,L,CHRIS.KUNITZ,Chris Kunitz,Kunitz,Chris,LW,TBL,,NMC,UFA,CCM - RBZ Speedburner,Bauer - Supreme 1S,Bauer,Bauer - 7500,Bauer - Vapor 1X 2.0
Brantford,ON,CAN,CAN,L,ADAM.HENRIQUE,Adam Henrique,Henrique,Adam,C,"NJD, ANA",,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,Warrior - Covert PX2,TRUE - Pro Custom
San Francisco,CA,USA,USA,L,BROOKS.ORPIK,Brooks Orpik,Orpik,Brooks,D,WSH,Lower body,,UFA,,,,,
Sandy,UT,USA,USA,L,DANIEL.BRICKLEY,Daniel Brickley,Brickley,Daniel,D,LAK,,,RFA,,,,,
Golden,BC,CAN,CAN,L,CURTIS.MCKENZIE,Curtis McKenzie,McKenzie,Curtis,LW,DAL,,,UFA,,,,,
Dubuque,IA,USA,USA,R,TUCKER.POOLMAN,Tucker Poolman,Poolman,Tucker,D,WPG,,,RFA,CCM - Ribcor Trigger 2 PMT,CCM - CL Pro,CCM,CCM - Resistance,CCM - Super Tacks
Cobourg,ON,CAN,CAN,R,JUSTIN.WILLIAMS,Justin Williams,Williams,Justin,RW,CAR,,M-NTC,UFA,CCM - Jetspeed,CCM - CL Pro,CCM,CCM - Fitlite 80,Bauer - Nexus 1N
Stockholm,,SWE,SWE,L,NIKLAS.KRONWALL,Niklas Kronwall,Kronwall,Niklas,D,DET,Groin,,UFA,CCM - Ribcor Reckoner,CCM - HG12,CCM,CCM - Vector V08,CCM - JetSpeed
Marshfield,MA,USA,USA,L,DAVID.WARSOFSKY,David Warsofsky,Warsofsky,David,D,COL,,,UFA,CCM - Super Tacks,CCM - CL Pro,CCM,CCM - Vector V08,Bauer - Supreme TotalOne MX3
Winnipeg,MB,CAN,CAN,R,DALE.WEISE,Dale Weise,Weise,Dale,RW,PHI,,,UFA,Bauer - Nexus 1N,Bauer - Supreme 1S,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Edina,MN,USA,USA,L,ANDERS.LEE,Anders Lee,Lee,Anders,LW,NYI,,,UFA,Bauer - Nexus 1N,Bauer - Nexus 1N,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Chatham,ON,CAN,CAN,L,TJ.BRODIE,T.J. Brodie,Brodie,TJ,D,CGY,Upper body,,UFA,CCM - Ribcor Trigger 2 PMT,Warrior - Dynasty AX1,CCM,CCM - Vector V08,Bauer - Supreme 1S
Halmstad,,SWE,SWE,L,GUSTAV.NYQUIST,Gustav Nyquist,Nyquist,Gustav,RW,DET,,M-NTC,UFA,Warrior - Alpha QX,Warrior - Covert QR1,Warrior,Warrior - Covert PX2,Bauer - Supreme 1S
Abbotsford,BC,CAN,CAN,L,DEREK.GRANT,Derek Grant,Grant,Derek,C,ANA,,,UFA,Bauer - Nexus 1N,Bauer - Vapor APX2,Bauer,Bauer - Re-Akt,Bauer - Supreme 1S
Brandon,MB,CAN,CAN,L,MATT.CALVERT,Matt Calvert,Calvert,Matt,LW,CBJ,"Illness, Upper body",,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,Bauer,Bauer - 4500,TRUE - Pro Custom
Minneapolis,MN,USA,USA,L,PAUL.MARTIN,Paul Martin,Martin,Paul,D,SJS,Ankle,,UFA,CCM - Super Tacks,CCM - CL Pro,Warrior,CCM - Vector V08,CCM - Super Tacks
Sterling Heights,MI,USA,USA,R,GREG.PATERYN,Greg Pateryn,Pateryn,Greg,D,DAL,,,UFA,Warrior - Covert QRL,Warrior - Covert QRL,Warrior,Bauer - 4500,Bauer - Supreme 1S
Thunder Bay,ON,CAN,CAN,L,ERIC.STAAL,Eric Staal,Staal,Eric,C,MIN,,M-NTC,UFA,Bauer - Supreme 1S,Bauer - Nexus 1N,Bauer,Bauer - Re-Akt,Bauer - Nexus 1N
Vienna,,AUT,AUT,R,THOMAS.VANEK,Thomas Vanek,Vanek,Thomas,LW,"VAN, CBJ",,,UFA,Warrior - Alpha QX,Warrior - Covert QRL,Warrior,CCM - Vector V08,CCM - Super Tacks AS1
Madison,WI,USA,USA,L,RYAN.SUTER,Ryan Suter,Suter,Ryan,D,MIN,Ankle,,UFA,Warrior - Alpha QX,Warrior - Dynasty AX1,Warrior,Warrior - Covert PX2,Bauer - Nexus 1N
Shaunavon,SK,CAN,CAN,L,BRAYDON.COBURN,Braydon Coburn,Coburn,Braydon,D,TBL,Undisclosed,M-NTC,UFA,Bauer - Vapor 1X Lite,Bauer - Vapor 1X,CCM,Easton - E400,Bauer - Supreme 1S
Edmonton,AB,CAN,CAN,L,DION.PHANEUF,Dion Phaneuf,Phaneuf,Dion,D,"OTT, LAK",,,UFA,Easton - Stealth CX,CCM - Quicklite,CCM,CCM - Fitlite,CCM - Tacks
London,ON,CAN,CAN,R,JEFF.CARTER,Jeff Carter,Carter,Jeff,C,LAK,Ankle,M-NTC,UFA,Bauer - Supreme 1S,Bauer - Vapor 1X,Bauer,Bauer - 4500,Bauer - Vapor 1X
Ithaca,NY,USA,USA,R,DUSTIN.BROWN,Dustin Brown,Brown,Dustin,RW,LAK,,M-NTC,UFA,Warrior - Covert QRL,Warrior - Covert QRL,CCM,CCM - Fitlite 80,Bauer - Nexus 1N
Richmond,BC,CAN,CAN,R,BRENT.SEABROOK,Brent Seabrook,Seabrook,Brent,D,CHI,,,UFA,CCM - Ribcor Trigger 2 PMT,CCM - Ultra Tacks,Warrior,CCM - Resistance,Bauer - Nexus 1N
Quebec City,QC,CAN,CAN,R,STEVE.BERNIER,Steve Bernier,Bernier,Steve,RW,NYI,,,UFA,,,,,
